status,city,state,country,classification,openfda,product_type,event_id,recalling_firm,address_1,address_2,postal_code,voluntary_mandated,initial_firm_notification,distribution_pattern,recall_number,product_description,product_quantity,reason_for_recall,recall_initiation_date,center_classification_date,termination_date,report_date,code_info,more_code_info,gmp_category,is_class_1
Terminated,Peoria,IL,United States,Class II,{},Drugs,72241,"Kalman Health & Wellness, Inc. dba Essential Wellness Pharma",4625 N University St,,61614-5828,Voluntary: Firm initiated,Letter,Nationwide,D-321-2016,"Progesterone 100 mg/mL in Corn Oil Injection, 2 mL vials, Rx only, Essential Wellness PHARMACY, 4625 N. University, Peoria, IL 61614.",1 vial,Lack of Assurance of Sterility:  A recall of all compounded sterile preparations within expiry is being initiated due to observations associated with poor sterile production practices resulting in a lack of sterility assurance for their finished drugs.,20150903.0,20151117.0,20171229.0,20151125.0,"Lot #: 072915, Exp 10/29/2015",,① 무균보증실패,0
Ongoing,San Juan Del Rio,,Mexico,Class II,{},Drugs,86162,Albek De Mexico S.A. De C.V.,Oriente Cuatro No. 11 Nuevo,,,Voluntary: Firm initiated,Press Release,USA Nationwide,D-0080-2021,"Assured Instant Hand Sanitizer Aloe & Moisturizers (Ethyl Alcohol 70% v/v) 8 fl oz / 237 mL bottle, Distributed By: Greenbrier International, Inc. 500 Volvo Parkway, Chesapeake, VA 23320. Made in Mexico.UPC 639277928610","27,000 bottles",CGMP Deviations: Next Advanced Antibacterial Hand Sanitizer was found to be below the label claim for ethanol content and contained methanol. Other products were recalled because they were manufactured in the same facility as the product found to contain methanol.,20200730.0,20201117.0,,20201125.0,1931102AL,,② 미생물/오염,0
Ongoing,Exton,PA,United States,Class II,{},Drugs,97808,ProRx LLC,619 Jeffers Cir,,19341-2540,Voluntary: Firm initiated,Letter,TX and UT,D-0115-2026,"Semaglutide Injection, 10 mg/4 mL (2.5 mg/mL), 4mL Multidose Vial, For Subcutaneous Use, Rx Only, Mfd by: ProRx, 619 Jeffers Cir, Exton, PA 19341.  NDC:  84139-225-04","8,400 vials",Lack of Assurance of Sterility,20251015.0,20251027.0,,20251105.0,"Lot, Best Use Date (BUD):  Lot PRORX050925-1, BUD November 4, 2025;  Lot ProRx051425-5, BUD November 10, 2025; Lot ProRx051425-6, BUD November 10, 2025",,① 무균보증실패,0
Terminated,Parsippany,NJ,United States,Class II,"{'application_number': ['ANDA040422'], 'brand_name': ['DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE'], 'generic_name': ['DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE'], 'manufacturer_name': ['Teva Pharmaceuticals USA, Inc.'], 'product_ndc': ['0555-0775', '0555-0971', '0555-0972', '0555-0776', '0555-0777', '0555-0973', '0555-0974'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['ORAL'], 'substance_name': ['AMPHETAMINE ASPARTATE MONOHYDRATE', 'AMPHETAMINE SULFATE', 'DEXTROAMPHETAMINE SACCHARATE', 'DEXTROAMPHETAMINE SULFATE'], 'rxcui': ['541363', '541878', '541892', '577957', '577961', '687043', '1009145'], 'spl_id': ['88468f3d-7d03-4cee-aabf-3abc8c9b5e38'], 'spl_set_id': ['cffbbb15-d776-41ae-a8a6-687f2c07bfa4'], 'package_ndc': ['0555-0971-02', '0555-0775-02', '0555-0972-02', '0555-0776-02', '0555-0777-02', '0555-0973-02', '0555-0974-02'], 'is_original_packager': [True], 'unii': ['O1ZPV620O4', '6DPV8NK46S', 'G83415V073', 'JJ768O327N']}",Drugs,85712,Teva Pharmaceuticals USA,400 Interpace Pkwy,,07054-1120,Voluntary: Firm initiated,Letter,Nationwide within the United State and Puerto Rico.,D-1285-2020,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate Tablets ( Mixed Amphetamine Salts Product), 5 mg, 100 count bottles, Rx Only, Teva Pharmaceuticals USA, INC. North Wales, PA 19454, NDC 0555-0971-02","33,280 bottles",Some bottles may contain mixed strengths of the product.,20200522.0,20200604.0,20210525.0,20200610.0,"Lot #: 42614718, Exp. date 02/2021",,기타,0
Terminated,Allegan,MI,United States,Class II,"{'application_number': ['M012'], 'brand_name': ['EQUALINE NASAL'], 'generic_name': ['OXYMETAZOLINE HCL'], 'manufacturer_name': ['United Natural Foods, Inc. dba UNFI'], 'product_ndc': ['41163-703'], 'product_type': ['HUMAN OTC DRUG'], 'route': ['NASAL'], 'substance_name': ['OXYMETAZOLINE HYDROCHLORIDE'], 'rxcui': ['1000990'], 'spl_id': ['00703ca9-7bc4-48a8-9e49-3688fffce57f'], 'spl_set_id': ['69308693-a094-42a9-a041-e73647a25cc1'], 'package_ndc': ['41163-703-10'], 'is_original_packager': [True], 'unii': ['K89MJ0S5VY']}",Drugs,88905,Perrigo Company PLC,515 Eastern Ave,,49010-9070,Voluntary: Firm initiated,Letter,Nationwide in the USA,D-0623-2022,"No Drip Nasal Spray, Oxymetazoline HCl 0.05% Nasal Decongestant, 1 FL Oz (30 mL) per bottle, Distributed by SUPERVALU INC., Eden Prairie, MN 55344 USA. NDC 41163-703-10","1,560 bottles",CGMP Deviations: Products were manufactured with contaminated excipient that was recalled from the excipient supplier.,20211026.0,20220223.0,20230929.0,20220302.0,"Batch: 1BK0964, Exp 01/31/2023",,⑦ 일반 CGMP 결함,0
Terminated,Lake Forest,IL,United States,Class II,{},Drugs,74057,"Pharmedium Services, LLC",150 N Field Dr Ste 350,,60045-2506,Voluntary: Firm initiated,E-Mail,Nationwide,D-1398-2016,"2 mcg/mL Fentanyl Citrate and 0.16% Bupivacaine HCl (Preservative Free) in 0.9% Sodium Chloride,	 100 mL in 150 mL Baxter Intravia Bag, Service Code 2K8102, Rx Only,  Compounded by PharMEDium Services, LLC, Memphis, TN 36141, NDC 61553-102-48",940 bags,Presence of Particulate Matter: API contaminated with glass particulate was used to produce sterile injectable drugs.,20160505.0,20160716.0,20180306.0,20160727.0,"Lot Number 160380168M , Exp. Date 5/8/2016 ;  Lot Number 160410137M , Exp. Date 5/11/2016 ;  Lot Number 160460150M , Exp. Date 5/16/2016 ;  Lot Number 160530279M , Exp. Date 5/23/2016 ;  Lot Number 160590185M , Exp. Date 5/29/2016 ;  Lot Number 160630160M , Exp. Date 6/2/2016 ;  Lot Number 160680179M , Exp. Date 6/7/2016 ;  Lot Number 160730238M , Exp. Date 6/12/2016 ;  Lot Number 160840215M , Exp. Date 6/23/2016 ;  Lot Number 160880193M , Exp. Date 6/27/2016 ;  Lot Number 160890187M , Exp. Date 6/28/2016 ;",,① 무균보증실패,0
Terminated,New York,NY,United States,Class III,"{'application_number': ['NDA020779'], 'brand_name': ['VIRACEPT'], 'generic_name': ['NELFINAVIR MESYLATE'], 'manufacturer_name': ['AGOURON'], 'product_ndc': ['63010-010', '63010-027'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['ORAL'], 'substance_name': ['NELFINAVIR MESYLATE'], 'rxcui': ['212118', '311924', '403978', '542370'], 'spl_id': ['4af6d4ca-b410-48e3-925e-ce23a14db18a'], 'spl_set_id': ['e72c2bc6-9462-4a2e-8e1d-b97592376cbd'], 'package_ndc': ['63010-010-30', '63010-027-70'], 'is_original_packager': [True], 'upc': ['0363010010309'], 'unii': ['98D603VP8V']}",Drugs,68660,Pfizer Inc.,235 East 42nd Street,,10017-5703,Voluntary: Firm initiated,Letter,Nationwide and Puerto Rico,D-1443-2014,"VIRACEPT (R) (nelfinavir mesylate) Tablets, 625 mg, 120-count bottle, Rx only, Manufactured by: Agouron Pharmaceuticals, Inc. A Pfizer Company,  Distributed by: ViV Healthcare Company, Research Triangle Park, NC 27709  NDC 63010-027-70",1200  tablets,Labeling: Incorrect or missing lot and or Exp Date: The bottles were labeled with an incorrect expiry date 11/2016.  The correct expiry date is 09/2016.,20140708.0,20140717.0,20150706.0,20140723.0,"Lot H45241, exp. 11/16",,⑤ 표시/라벨링 오류,0
Ongoing,Dania Beach,FL,United States,Class II,{},Drugs,94788,Little Moon Essentials LLC,501 Old Griffin Rd,,33004-2774,Voluntary: Firm initiated,Letter,"Nationwide USA and Ontario, Canada (2 retailers)",D-0572-2024,"Little Moon Essentials, Crampy Belly Rub (Camphor 1.1%), Packaged as a) 4 FL OZ (118ML) glass jar, UPC Code 6 73673 88260 2, NDC 70722-260-04; b) 2 FL OZ (59ML) glass jar, UPC Code 6 73673 88204 6, NDC 70722-260-02, Little Moon Essentials LLC Dania Beach, Fl 33004",788 glass jars,CGMP deviations,20240620.0,20240702.0,,20240710.0,"lot code No Expiration Date on product:  a) 224010,  b) 321260, 322260, 320280, 328080, 325021, 321121, 423010, 427110, 429120, 420220, 422140",,⑦ 일반 CGMP 결함,0
Terminated,Houston,TX,United States,Class II,{},Drugs,81002,"Pharm D Solutions, LLC",1304 S Loop W,,77054-4010,Voluntary: Firm initiated,Press Release,Nationwide,D-0194-2019,"Trimix QM10 Papaverine 30 mg/Phentolamine 4 mg/Atropine 1 mg/PGE 150 mcg/mL Injectable, Pharm D Solutions, Houston, Texas --- NDC 69699-1352-05",9 vials,Lack of Assurance of Sterility,20180910.0,20181101.0,20210205.0,20181107.0,Lot: 04262018:09 Discard by: 10/22/2018; 07022018:48 Discard by: 12/29/2018,,① 무균보증실패,0
Terminated,Chesterbrook,PA,United States,Class II,{},Drugs,66316,AmeriSource Bergen,1300 Morris Dr,,19087-5559,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Nationwide,D-1066-2013,"Ifosfamide Injection 3g/60 mL, Single dose vial, Rx only, Sterile, For Intravenous Use, Refrigerate at 2-8 degrees celcius, Distributed by Pfizer Labs, Division of Pfizer Inc., New York, NY 10017, NDC 0069-4496-22",60 vials,Temperature abuse: Certain vials of Ifosfamide IV products were not refrigerated at certain Amerisource Bergen Drug Corp distribution centers.,20130913.0,20130927.0,20141001.0,20131009.0,"Lot #s: 7800929, 7800931, Exp 02/15; 7800962, Exp 03/15",,⑨ 보관/유통 문제,0
